Day,apple
2010-10-01,77
2010-10-02,97
2010-10-03,100
2010-10-04,72
2010-10-05,70
2010-10-06,68
2010-10-07,72
2010-10-08,75
2010-10-09,93
2010-10-10,92
2010-10-11,75
2010-10-12,67
2010-10-13,67
2010-10-14,68
2010-10-15,71
2010-10-16,87
2010-10-17,83
2010-10-18,72
2010-10-19,69
2010-10-20,94
2010-10-21,81
2010-10-22,73
2010-10-23,80
2010-10-24,80
2010-10-25,69
2010-10-26,69
2010-10-27,63
2010-10-28,64
2010-10-29,64
2010-10-30,73
2010-10-31,75
