Day,hp
2012-06-01,89
2012-06-02,77
2012-06-03,75
2012-06-04,93
2012-06-05,94
2012-06-06,95
2012-06-07,95
2012-06-08,88
2012-06-09,78
2012-06-10,73
2012-06-11,92
2012-06-12,92
2012-06-13,92
2012-06-14,91
2012-06-15,90
2012-06-16,78
2012-06-17,73
2012-06-18,94
2012-06-19,94
2012-06-20,93
2012-06-21,93
2012-06-22,91
2012-06-23,79
2012-06-24,75
2012-06-25,94
2012-06-26,100
2012-06-27,97
2012-06-28,93
2012-06-29,89
2012-06-30,76
