Day,nokia
2009-10-01,89
2009-10-02,88
2009-10-03,99
2009-10-04,94
2009-10-05,88
2009-10-06,90
2009-10-07,89
2009-10-08,89
2009-10-09,90
2009-10-10,100
2009-10-11,96
2009-10-12,90
2009-10-13,91
2009-10-14,90
2009-10-15,92
2009-10-16,92
2009-10-17,94
2009-10-18,94
2009-10-19,86
2009-10-20,86
2009-10-21,89
2009-10-22,87
2009-10-23,91
2009-10-24,94
2009-10-25,97
2009-10-26,86
2009-10-27,86
2009-10-28,86
2009-10-29,86
2009-10-30,87
2009-10-31,95
