Day,amazon
2009-11-01,66
2009-11-02,63
2009-11-03,63
2009-11-04,59
2009-11-05,59
2009-11-06,60
2009-11-07,65
2009-11-08,70
2009-11-09,64
2009-11-10,65
2009-11-11,66
2009-11-12,64
2009-11-13,63
2009-11-14,71
2009-11-15,77
2009-11-16,69
2009-11-17,69
2009-11-18,69
2009-11-19,69
2009-11-20,69
2009-11-21,76
2009-11-22,86
2009-11-23,77
2009-11-24,77
2009-11-25,77
2009-11-26,80
2009-11-27,93
2009-11-28,90
2009-11-29,100
2009-11-30,99
