Day,microsoft
2004-03-01,96
2004-03-02,91
2004-03-03,96
2004-03-04,98
2004-03-05,94
2004-03-06,79
2004-03-07,76
2004-03-08,83
2004-03-09,90
2004-03-10,98
2004-03-11,88
2004-03-12,90
2004-03-13,81
2004-03-14,79
2004-03-15,87
2004-03-16,92
2004-03-17,94
2004-03-18,93
2004-03-19,90
2004-03-20,81
2004-03-21,76
2004-03-22,81
2004-03-23,91
2004-03-24,100
2004-03-25,93
2004-03-26,88
2004-03-27,79
2004-03-28,75
2004-03-29,84
2004-03-30,88
2004-03-31,90
