Day,apple
2012-12-01,69
2012-12-02,71
2012-12-03,66
2012-12-04,64
2012-12-05,64
2012-12-06,66
2012-12-07,65
2012-12-08,70
2012-12-09,71
2012-12-10,64
2012-12-11,65
2012-12-12,65
2012-12-13,64
2012-12-14,68
2012-12-15,71
2012-12-16,71
2012-12-17,69
2012-12-18,69
2012-12-19,65
2012-12-20,64
2012-12-21,64
2012-12-22,76
2012-12-23,76
2012-12-24,77
2012-12-25,100
2012-12-26,87
2012-12-27,80
2012-12-28,76
2012-12-29,74
2012-12-30,70
2012-12-31,66
