Day,nokia
2012-04-01,100
2012-04-02,88
2012-04-03,90
2012-04-04,93
2012-04-05,92
2012-04-06,97
2012-04-07,100
2012-04-08,99
2012-04-09,95
2012-04-10,93
2012-04-11,93
2012-04-12,94
2012-04-13,91
2012-04-14,95
2012-04-15,94
2012-04-16,88
2012-04-17,84
2012-04-18,89
2012-04-19,91
2012-04-20,90
2012-04-21,96
2012-04-22,90
2012-04-23,84
2012-04-24,84
2012-04-25,84
2012-04-26,85
2012-04-27,86
2012-04-28,95
2012-04-29,90
2012-04-30,82
