Day,microsoft
2012-02-01,89
2012-02-02,90
2012-02-03,84
2012-02-04,73
2012-02-05,75
2012-02-06,86
2012-02-07,88
2012-02-08,92
2012-02-09,90
2012-02-10,85
2012-02-11,73
2012-02-12,70
2012-02-13,85
2012-02-14,87
2012-02-15,92
2012-02-16,92
2012-02-17,86
2012-02-18,74
2012-02-19,76
2012-02-20,87
2012-02-21,91
2012-02-22,90
2012-02-23,89
2012-02-24,83
2012-02-25,72
2012-02-26,75
2012-02-27,88
2012-02-28,90
2012-02-29,100
