Day,motorola
2009-01-01,86
2009-01-02,100
2009-01-03,97
2009-01-04,89
2009-01-05,94
2009-01-06,93
2009-01-07,92
2009-01-08,91
2009-01-09,90
2009-01-10,94
2009-01-11,87
2009-01-12,92
2009-01-13,87
2009-01-14,88
2009-01-15,85
2009-01-16,85
2009-01-17,93
2009-01-18,84
2009-01-19,85
2009-01-20,87
2009-01-21,84
2009-01-22,82
2009-01-23,85
2009-01-24,88
2009-01-25,83
2009-01-26,83
2009-01-27,87
2009-01-28,86
2009-01-29,85
2009-01-30,85
2009-01-31,91
