Day,hp
2013-02-01,96
2013-02-02,85
2013-02-03,81
2013-02-04,98
2013-02-05,98
2013-02-06,100
2013-02-07,96
2013-02-08,93
2013-02-09,81
2013-02-10,77
2013-02-11,92
2013-02-12,92
2013-02-13,97
2013-02-14,94
2013-02-15,90
2013-02-16,81
2013-02-17,80
2013-02-18,94
2013-02-19,100
2013-02-20,99
2013-02-21,97
2013-02-22,93
2013-02-23,86
2013-02-24,80
2013-02-25,96
2013-02-26,99
2013-02-27,99
2013-02-28,95
