Day,apple
2013-04-01,100
2013-04-02,91
2013-04-03,89
2013-04-04,93
2013-04-05,92
2013-04-06,99
2013-04-07,96
2013-04-08,91
2013-04-09,91
2013-04-10,88
2013-04-11,89
2013-04-12,90
2013-04-13,95
2013-04-14,93
2013-04-15,86
2013-04-16,86
2013-04-17,89
2013-04-18,87
2013-04-19,86
2013-04-20,93
2013-04-21,93
2013-04-22,89
2013-04-23,96
2013-04-24,92
2013-04-25,87
2013-04-26,88
2013-04-27,90
2013-04-28,95
2013-04-29,89
2013-04-30,88
