Day,motorola
2007-06-01,87
2007-06-02,100
2007-06-03,92
2007-06-04,86
2007-06-05,88
2007-06-06,90
2007-06-07,90
2007-06-08,87
2007-06-09,98
2007-06-10,94
2007-06-11,87
2007-06-12,91
2007-06-13,87
2007-06-14,89
2007-06-15,87
2007-06-16,96
2007-06-17,89
2007-06-18,84
2007-06-19,83
2007-06-20,87
2007-06-21,85
2007-06-22,88
2007-06-23,94
2007-06-24,92
2007-06-25,85
2007-06-26,86
2007-06-27,86
2007-06-28,85
2007-06-29,89
2007-06-30,100
