Day,hp
2010-01-01,71
2010-01-02,77
2010-01-03,76
2010-01-04,92
2010-01-05,92
2010-01-06,89
2010-01-07,92
2010-01-08,86
2010-01-09,81
2010-01-10,76
2010-01-11,92
2010-01-12,94
2010-01-13,92
2010-01-14,93
2010-01-15,89
2010-01-16,82
2010-01-17,79
2010-01-18,93
2010-01-19,92
2010-01-20,94
2010-01-21,92
2010-01-22,89
2010-01-23,80
2010-01-24,77
2010-01-25,92
2010-01-26,93
2010-01-27,93
2010-01-28,100
2010-01-29,88
2010-01-30,83
2010-01-31,79
