Day,amazon
2005-04-01,82
2005-04-02,81
2005-04-03,92
2005-04-04,79
2005-04-05,81
2005-04-06,84
2005-04-07,83
2005-04-08,87
2005-04-09,91
2005-04-10,95
2005-04-11,79
2005-04-12,84
2005-04-13,82
2005-04-14,84
2005-04-15,85
2005-04-16,86
2005-04-17,97
2005-04-18,90
2005-04-19,85
2005-04-20,85
2005-04-21,85
2005-04-22,85
2005-04-23,92
2005-04-24,100
2005-04-25,86
2005-04-26,85
2005-04-27,84
2005-04-28,87
2005-04-29,87
2005-04-30,91
