Day,hp
2007-02-01,93
2007-02-02,91
2007-02-03,86
2007-02-04,80
2007-02-05,92
2007-02-06,100
2007-02-07,95
2007-02-08,92
2007-02-09,93
2007-02-10,85
2007-02-11,75
2007-02-12,93
2007-02-13,91
2007-02-14,88
2007-02-15,92
2007-02-16,89
2007-02-17,79
2007-02-18,76
2007-02-19,89
2007-02-20,90
2007-02-21,89
2007-02-22,92
2007-02-23,89
2007-02-24,80
2007-02-25,77
2007-02-26,89
2007-02-27,88
2007-02-28,91
