Day,nokia
2010-06-01,87
2010-06-02,87
2010-06-03,86
2010-06-04,88
2010-06-05,99
2010-06-06,92
2010-06-07,88
2010-06-08,89
2010-06-09,87
2010-06-10,87
2010-06-11,83
2010-06-12,94
2010-06-13,90
2010-06-14,87
2010-06-15,87
2010-06-16,87
2010-06-17,88
2010-06-18,89
2010-06-19,100
2010-06-20,99
2010-06-21,87
2010-06-22,86
2010-06-23,87
2010-06-24,88
2010-06-25,90
2010-06-26,99
2010-06-27,91
2010-06-28,87
2010-06-29,86
2010-06-30,87
