Day,hp
2008-12-01,99
2008-12-02,100
2008-12-03,97
2008-12-04,94
2008-12-05,94
2008-12-06,87
2008-12-07,84
2008-12-08,94
2008-12-09,95
2008-12-10,95
2008-12-11,98
2008-12-12,94
2008-12-13,85
2008-12-14,84
2008-12-15,97
2008-12-16,97
2008-12-17,99
2008-12-18,94
2008-12-19,92
2008-12-20,88
2008-12-21,81
2008-12-22,96
2008-12-23,94
2008-12-24,90
2008-12-25,90
2008-12-26,97
2008-12-27,92
2008-12-28,86
2008-12-29,95
2008-12-30,96
2008-12-31,83
