Day,hp
2010-07-01,99
2010-07-02,88
2010-07-03,76
2010-07-04,72
2010-07-05,91
2010-07-06,95
2010-07-07,97
2010-07-08,95
2010-07-09,90
2010-07-10,76
2010-07-11,72
2010-07-12,93
2010-07-13,98
2010-07-14,99
2010-07-15,98
2010-07-16,93
2010-07-17,83
2010-07-18,78
2010-07-19,97
2010-07-20,99
2010-07-21,99
2010-07-22,99
2010-07-23,94
2010-07-24,84
2010-07-25,79
2010-07-26,98
2010-07-27,100
2010-07-28,99
2010-07-29,98
2010-07-30,97
2010-07-31,86
