Day,microsoft
2012-08-01,80
2012-08-02,78
2012-08-03,73
2012-08-04,62
2012-08-05,61
2012-08-06,75
2012-08-07,78
2012-08-08,79
2012-08-09,78
2012-08-10,73
2012-08-11,61
2012-08-12,62
2012-08-13,78
2012-08-14,81
2012-08-15,84
2012-08-16,83
2012-08-17,77
2012-08-18,65
2012-08-19,67
2012-08-20,81
2012-08-21,85
2012-08-22,85
2012-08-23,98
2012-08-24,100
2012-08-25,76
2012-08-26,73
2012-08-27,85
2012-08-28,89
2012-08-29,88
2012-08-30,87
2012-08-31,80
