Day,amazon
2011-05-01,89
2011-05-02,85
2011-05-03,86
2011-05-04,85
2011-05-05,85
2011-05-06,84
2011-05-07,89
2011-05-08,96
2011-05-09,88
2011-05-10,90
2011-05-11,88
2011-05-12,86
2011-05-13,86
2011-05-14,93
2011-05-15,100
2011-05-16,90
2011-05-17,91
2011-05-18,90
2011-05-19,86
2011-05-20,88
2011-05-21,88
2011-05-22,99
2011-05-23,93
2011-05-24,93
2011-05-25,88
2011-05-26,91
2011-05-27,90
2011-05-28,93
2011-05-29,95
2011-05-30,90
2011-05-31,91
