Day,nokia
2009-05-01,88
2009-05-02,94
2009-05-03,92
2009-05-04,87
2009-05-05,90
2009-05-06,89
2009-05-07,88
2009-05-08,92
2009-05-09,96
2009-05-10,92
2009-05-11,91
2009-05-12,92
2009-05-13,89
2009-05-14,87
2009-05-15,90
2009-05-16,97
2009-05-17,93
2009-05-18,85
2009-05-19,90
2009-05-20,88
2009-05-21,90
2009-05-22,90
2009-05-23,100
2009-05-24,95
2009-05-25,93
2009-05-26,88
2009-05-27,90
2009-05-28,91
2009-05-29,89
2009-05-30,99
2009-05-31,96
