Day,microsoft
2010-04-01,94
2010-04-02,90
2010-04-03,82
2010-04-04,82
2010-04-05,90
2010-04-06,94
2010-04-07,92
2010-04-08,91
2010-04-09,88
2010-04-10,79
2010-04-11,83
2010-04-12,96
2010-04-13,100
2010-04-14,99
2010-04-15,96
2010-04-16,90
2010-04-17,82
2010-04-18,84
2010-04-19,96
2010-04-20,96
2010-04-21,96
2010-04-22,95
2010-04-23,94
2010-04-24,81
2010-04-25,82
2010-04-26,91
2010-04-27,93
2010-04-28,93
2010-04-29,92
2010-04-30,85
