Day,motorola
2009-02-01,97
2009-02-02,89
2009-02-03,96
2009-02-04,94
2009-02-05,95
2009-02-06,92
2009-02-07,99
2009-02-08,90
2009-02-09,91
2009-02-10,90
2009-02-11,90
2009-02-12,89
2009-02-13,95
2009-02-14,96
2009-02-15,100
2009-02-16,91
2009-02-17,93
2009-02-18,91
2009-02-19,89
2009-02-20,89
2009-02-21,99
2009-02-22,89
2009-02-23,82
2009-02-24,88
2009-02-25,90
2009-02-26,92
2009-02-27,89
2009-02-28,93
