Day,amazon
2010-10-01,85
2010-10-02,91
2010-10-03,94
2010-10-04,87
2010-10-05,87
2010-10-06,83
2010-10-07,84
2010-10-08,83
2010-10-09,86
2010-10-10,93
2010-10-11,90
2010-10-12,82
2010-10-13,80
2010-10-14,83
2010-10-15,85
2010-10-16,88
2010-10-17,97
2010-10-18,86
2010-10-19,86
2010-10-20,86
2010-10-21,84
2010-10-22,85
2010-10-23,92
2010-10-24,97
2010-10-25,92
2010-10-26,89
2010-10-27,88
2010-10-28,88
2010-10-29,85
2010-10-30,92
2010-10-31,100
