Day,apple
2009-06-01,53
2009-06-02,52
2009-06-03,54
2009-06-04,53
2009-06-05,54
2009-06-06,60
2009-06-07,60
2009-06-08,100
2009-06-09,95
2009-06-10,75
2009-06-11,67
2009-06-12,65
2009-06-13,66
2009-06-14,67
2009-06-15,61
2009-06-16,64
2009-06-17,87
2009-06-18,72
2009-06-19,69
2009-06-20,73
2009-06-21,68
2009-06-22,62
2009-06-23,62
2009-06-24,61
2009-06-25,57
2009-06-26,55
2009-06-27,62
2009-06-28,60
2009-06-29,58
2009-06-30,55
