Day,microsoft
2012-06-01,48
2012-06-02,42
2012-06-03,42
2012-06-04,56
2012-06-05,56
2012-06-06,52
2012-06-07,52
2012-06-08,47
2012-06-09,40
2012-06-10,41
2012-06-11,49
2012-06-12,52
2012-06-13,52
2012-06-14,52
2012-06-15,50
2012-06-16,42
2012-06-17,43
2012-06-18,63
2012-06-19,100
2012-06-20,75
2012-06-21,65
2012-06-22,55
2012-06-23,45
2012-06-24,46
2012-06-25,53
2012-06-26,55
2012-06-27,55
2012-06-28,51
2012-06-29,48
2012-06-30,40
