Day,amazon
2009-12-01,90
2009-12-02,86
2009-12-03,84
2009-12-04,82
2009-12-05,87
2009-12-06,100
2009-12-07,94
2009-12-08,91
2009-12-09,88
2009-12-10,88
2009-12-11,84
2009-12-12,92
2009-12-13,100
2009-12-14,96
2009-12-15,95
2009-12-16,91
2009-12-17,87
2009-12-18,82
2009-12-19,86
2009-12-20,84
2009-12-21,78
2009-12-22,71
2009-12-23,68
2009-12-24,61
2009-12-25,69
2009-12-26,84
2009-12-27,82
2009-12-28,75
2009-12-29,73
2009-12-30,70
2009-12-31,65
