Day,hp
2006-08-01,94
2006-08-02,91
2006-08-03,96
2006-08-04,90
2006-08-05,81
2006-08-06,73
2006-08-07,91
2006-08-08,98
2006-08-09,96
2006-08-10,94
2006-08-11,90
2006-08-12,81
2006-08-13,77
2006-08-14,95
2006-08-15,93
2006-08-16,94
2006-08-17,97
2006-08-18,93
2006-08-19,82
2006-08-20,84
2006-08-21,92
2006-08-22,98
2006-08-23,97
2006-08-24,97
2006-08-25,95
2006-08-26,85
2006-08-27,81
2006-08-28,98
2006-08-29,97
2006-08-30,100
2006-08-31,96
