Day,microsoft
2010-11-01,100
2010-11-02,99
2010-11-03,94
2010-11-04,94
2010-11-05,87
2010-11-06,81
2010-11-07,81
2010-11-08,93
2010-11-09,94
2010-11-10,92
2010-11-11,93
2010-11-12,84
2010-11-13,80
2010-11-14,77
2010-11-15,90
2010-11-16,92
2010-11-17,94
2010-11-18,90
2010-11-19,82
2010-11-20,75
2010-11-21,78
2010-11-22,84
2010-11-23,86
2010-11-24,86
2010-11-25,82
2010-11-26,80
2010-11-27,73
2010-11-28,77
2010-11-29,86
2010-11-30,88
